ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1222.226	P	0.000753643
AFFX-BioB-M_at	2261.034	P	4.43E-05
AFFX-BioB-3_at	1034.398	P	5.17E-05
AFFX-BioC-5_at	2735.587	P	5.17E-05
AFFX-BioC-3_at	4460.46	P	5.17E-05
AFFX-BioDn-5_at	8334.54	P	4.43E-05
AFFX-BioDn-3_at	18111.46	P	6.02E-05
AFFX-CreX-5_at	53286.57	P	5.17E-05
AFFX-CreX-3_at	58832.69	P	4.43E-05
AFFX-DapX-5_at	1205.981	P	8.14E-05
AFFX-DapX-M_at	2383.218	P	0.000581214
AFFX-DapX-3_at	3262.47	P	5.17E-05
AFFX-LysX-5_at	149.1584	P	0.004998194
AFFX-LysX-M_at	208.9201	P	0.007615592
AFFX-LysX-3_at	549.5585	P	8.14E-05
AFFX-PheX-5_at	406.1342	P	0.00141043
AFFX-PheX-M_at	686.0699	P	0.00010954
AFFX-PheX-3_at	379.9953	P	0.001101968
AFFX-ThrX-5_at	298.8177	P	0.000389797
AFFX-ThrX-M_at	452.9307	P	0.000509415
AFFX-ThrX-3_at	676.5784	P	0.000258358
AFFX-TrpnX-5_at	51.79827	A	0.3406612
AFFX-TrpnX-M_at	17.34303	A	0.7609373
AFFX-TrpnX-3_at	33.05001	A	0.1235723
AFFX-r2-Ec-bioB-5_at	1680.307	P	0.000244141
AFFX-r2-Ec-bioB-M_at	1928.144	P	0.000244141
AFFX-r2-Ec-bioB-3_at	1758.56	P	0.000244141
AFFX-r2-Ec-bioC-5_at	5170.452	P	0.000244141
AFFX-r2-Ec-bioC-3_at	5752.376	P	0.000244141
AFFX-r2-Ec-bioD-5_at	20431.11	P	0.000244141
AFFX-r2-Ec-bioD-3_at	29670.54	P	0.000244141
AFFX-r2-P1-cre-5_at	60523.06	P	0.000244141
AFFX-r2-P1-cre-3_at	77027.67	P	0.000244141
AFFX-r2-Bs-dap-5_at	1318.266	P	0.000244141
AFFX-r2-Bs-dap-M_at	3421.24	P	0.000244141
AFFX-r2-Bs-dap-3_at	3914.344	P	0.000244141
AFFX-r2-Bs-lys-5_at	273.2758	P	0.000244141
AFFX-r2-Bs-lys-M_at	233.3307	P	0.000244141
AFFX-r2-Bs-lys-3_at	252.6282	P	0.000244141
AFFX-r2-Bs-phe-5_at	571.225	P	0.000244141
AFFX-r2-Bs-phe-M_at	564.983	P	0.000244141
AFFX-r2-Bs-phe-3_at	956.8566	P	0.0012207
AFFX-r2-Bs-thr-3_s_at	1019.923	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	817.2144	P	0.00805664
AFFX-r2-Bs-thr-5_s_at	260.3922	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	247.277	P	0.004480814
AFFX-HUMISGF3A/M97935_MA_at	539.3799	P	0.000856509
AFFX-HUMISGF3A/M97935_MB_at	1085.849	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	7083.852	P	5.17E-05
AFFX-HUMRGE/M10098_5_at	54636.67	P	4.43E-05
AFFX-HUMRGE/M10098_M_at	35718.07	P	4.43E-05
AFFX-HUMRGE/M10098_3_at	44776.57	P	5.17E-05
AFFX-HUMGAPDH/M33197_5_at	19600.06	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	18249.56	P	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	21657.97	P	4.43E-05
AFFX-HSAC07/X00351_5_at	4850.86	P	9.45E-05
AFFX-HSAC07/X00351_M_at	9778.985	P	4.43E-05
AFFX-HSAC07/X00351_3_at	23625.4	P	4.43E-05
AFFX-M27830_5_at	20450.15	P	4.43E-05
AFFX-M27830_M_at	6629.76	P	0.002555524
AFFX-M27830_3_at	81.14259	A	0.4554125
AFFX-hum_alu_at	75298.44	P	2.61E-13
1007_s_at	347.9653	P	0.003066685
1053_at	332.7145	P	0.002227676
117_at	112.4852	P	0.03936541
121_at	442.1805	A	0.06686494
1255_g_at	12.39294	A	0.5616391
1294_at	558.8708	P	0.03936541
1316_at	381.4904	P	0.000388206
1320_at	12.89231	A	0.8240106
1405_i_at	632.989	P	0.00049077
1431_at	356.3663	P	0.001141097
1438_at	48.14053	A	0.3586904
1487_at	490.164	A	0.07383013
1494_f_at	162.1419	A	0.1276453
1598_g_at	785.8297	P	0.001602293
160020_at	237.1445	P	0.01493657
1729_at	4553.049	P	0.000265621
1773_at	167.0088	A	0.1171605
177_at	102.998	P	0.03133569
179_at	323.2329	A	0.08133665
1861_at	394.813	A	0.06686494
200000_s_at	2465.455	P	0.000244141
200001_at	2444.213	P	0.00195313
200002_at	39525.79	P	0.000244141
200003_s_at	48404.18	P	0.000244141
200004_at	25032.77	P	0.000244141
200005_at	8382.249	P	0.000244141
200006_at	20390.83	P	0.000244141
200007_at	17909.01	P	0.000244141
200008_s_at	3460.213	P	0.000244141
200009_at	11970.49	P	0.000244141
200010_at	50559.61	P	0.000244141
200011_s_at	1776.038	P	0.000244141
200012_x_at	44389.23	P	0.000244141
200013_at	28532.38	P	0.000244141
200014_s_at	8141.35	P	0.000244141
200015_s_at	16993.3	P	0.000732422
200016_x_at	33799.26	P	0.000244141
200017_at	62083.63	P	0.000244141
200018_at	65133.04	P	0.000244141
200019_s_at	47709.28	P	0.000244141
200020_at	4718.931	P	0.000244141
200021_at	23140.21	P	0.00585938
200022_at	41973.93	P	0.000244141
200023_s_at	17756.2	P	0.000244141
200024_at	44540.73	P	0.000244141
200025_s_at	58997.08	P	0.000244141
200026_at	51272.43	P	0.000244141
200027_at	17823.49	P	0.000244141
200028_s_at	5231.863	P	0.000244141
200029_at	46409.05	P	0.000244141
200030_s_at	10916.97	P	0.000244141
200031_s_at	76965.42	P	0.000244141
200032_s_at	60712.64	P	0.000244141
200033_at	44839.63	P	0.000244141
200034_s_at	48550.85	P	0.000244141
200035_at	2159.78	P	0.00585938
200036_s_at	28981.63	P	0.000244141
200037_s_at	17198.74	P	0.000244141
200038_s_at	44366.56	P	0.000244141
200039_s_at	8951.958	P	0.000244141
200040_at	8331.031	P	0.000244141
200041_s_at	1677.564	P	0.000244141
200042_at	1610.8	P	0.000244141
200043_at	10163.95	P	0.000244141
200044_at	10991.62	P	0.000244141
200045_at	1806.116	P	0.000732422
200046_at	19714.85	P	0.000244141
200047_s_at	9681.265	P	0.000244141
200048_s_at	27302.5	P	0.000244141
200049_at	1118.417	P	0.000244141
200050_at	3139.048	P	0.000732422
200051_at	1577.354	P	0.00292969
200052_s_at	6912.031	P	0.000244141
200053_at	3282.056	P	0.000732422
200054_at	1277.759	P	0.000244141
200055_at	6606.294	P	0.000244141
200056_s_at	2396.387	P	0.000244141
200057_s_at	10119.08	P	0.000244141
200058_s_at	5853.404	P	0.000244141
200059_s_at	23623.7	P	0.000244141
200060_s_at	5542.895	P	0.000244141
200061_s_at	44094.53	P	0.000244141
200062_s_at	58014.23	P	0.000244141
200063_s_at	33937.71	P	0.000244141
200064_at	11262.44	P	0.000244141
200065_s_at	15965.6	P	0.000244141
