ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1832.61	P	0.000126798
AFFX-BioB-M_at	2743.975	P	4.43E-05
AFFX-BioB-3_at	1561.04	P	4.43E-05
AFFX-BioC-5_at	4800.246	P	5.17E-05
AFFX-BioC-3_at	7100.75	P	4.43E-05
AFFX-BioDn-5_at	14004.05	P	4.43E-05
AFFX-BioDn-3_at	20254.96	P	5.17E-05
AFFX-CreX-5_at	71448.35	P	5.17E-05
AFFX-CreX-3_at	70693.38	P	4.43E-05
AFFX-DapX-5_at	7200.637	P	4.43E-05
AFFX-DapX-M_at	11142.44	P	0.000146581
AFFX-DapX-3_at	9856.914	P	4.43E-05
AFFX-LysX-5_at	455.1981	P	6.02E-05
AFFX-LysX-M_at	693.9038	P	0.00012664
AFFX-LysX-3_at	1089.007	P	9.45E-05
AFFX-PheX-5_at	819.5195	P	5.17E-05
AFFX-PheX-M_at	937.0839	P	4.43E-05
AFFX-PheX-3_at	798.9969	P	4.43E-05
AFFX-ThrX-5_at	1232.912	P	7.01E-05
AFFX-ThrX-M_at	1867.333	P	4.43E-05
AFFX-ThrX-3_at	2511.133	P	4.43E-05
AFFX-TrpnX-5_at	42.06904	A	0.275146
AFFX-TrpnX-M_at	25.43768	A	0.5
AFFX-TrpnX-3_at	17.21305	A	0.4702405
AFFX-r2-Ec-bioB-5_at	2799.86	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2608.89	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2398.862	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6080.822	P	0.000244141
AFFX-r2-Ec-bioC-3_at	7822.152	P	0.000244141
AFFX-r2-Ec-bioD-5_at	28506.17	P	0.000244141
AFFX-r2-Ec-bioD-3_at	38515.63	P	0.000244141
AFFX-r2-P1-cre-5_at	68613.07	P	0.000244141
AFFX-r2-P1-cre-3_at	90195.45	P	0.000244141
AFFX-r2-Bs-dap-5_at	8853.67	P	0.000244141
AFFX-r2-Bs-dap-M_at	13218.45	P	0.000244141
AFFX-r2-Bs-dap-3_at	13871.8	P	0.000244141
AFFX-r2-Bs-lys-5_at	729.8425	P	0.000244141
AFFX-r2-Bs-lys-M_at	674.6743	P	0.000244141
AFFX-r2-Bs-lys-3_at	603.941	P	0.000732422
