ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1606.6	P	0.000753643
AFFX-BioB-M_at	2905.009	P	4.43E-05
AFFX-BioB-3_at	1454.919	P	5.16E-05
AFFX-BioC-5_at	4218.086	P	6.02E-05
AFFX-BioC-3_at	5679.072	P	4.43E-05
AFFX-BioDn-5_at	11879.46	P	0.000340305
AFFX-BioDn-3_at	20166.61	P	4.43E-05
AFFX-CreX-5_at	72244.27	P	5.17E-05
AFFX-CreX-3_at	76094.01	P	4.43E-05
AFFX-DapX-5_at	1801.243	P	6.02E-05
AFFX-DapX-M_at	4726.875	P	0.000389797
AFFX-DapX-3_at	8250.345	P	5.17E-05
AFFX-LysX-5_at	187.0098	P	7.01E-05
AFFX-LysX-M_at	398.3158	P	0.002274964
AFFX-LysX-3_at	1334.266	P	8.14E-05
AFFX-PheX-5_at	363.0706	P	7.01E-05
AFFX-PheX-M_at	540.1207	P	0.000340305
AFFX-PheX-3_at	672.9904	P	4.43E-05
AFFX-ThrX-5_at	467.8511	P	0.000296708
AFFX-ThrX-M_at	1209.68	P	5.17E-05
AFFX-ThrX-3_at	2554.535	P	4.43E-05
AFFX-TrpnX-5_at	17.10163	A	0.4702405
AFFX-TrpnX-M_at	12.86948	A	0.8686389
AFFX-TrpnX-3_at	71.09223	P	0.04648156
AFFX-r2-Ec-bioB-5_at	2668.175	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2501.618	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2829.686	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6153.977	P	0.000244141
AFFX-r2-Ec-bioC-3_at	6761.888	P	0.000244141
AFFX-r2-Ec-bioD-5_at	22983.04	P	0.000244141
AFFX-r2-Ec-bioD-3_at	38024.78	P	0.000244141
AFFX-r2-P1-cre-5_at	70537.66	P	0.000244141
AFFX-r2-P1-cre-3_at	97862.3	P	0.000244141
AFFX-r2-Bs-dap-5_at	1654.988	P	0.000244141
AFFX-r2-Bs-dap-M_at	6243.471	P	0.000244141
AFFX-r2-Bs-dap-3_at	10952.6	P	0.000244141
AFFX-r2-Bs-lys-5_at	324.369	P	0.000244141
AFFX-r2-Bs-lys-M_at	410.416	P	0.00195313
AFFX-r2-Bs-lys-3_at	902.1584	P	0.000244141
AFFX-r2-Bs-phe-5_at	573.4509	P	0.000244141
AFFX-r2-Bs-phe-M_at	725.8827	P	0.000732422
AFFX-r2-Bs-phe-3_at	2169.165	P	0.00195313
AFFX-r2-Bs-thr-3_s_at	3629.66	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	1482.05	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	642.0299	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	299.0197	P	0.003594584
AFFX-HUMISGF3A/M97935_MA_at	816.8128	P	0.004998194
AFFX-HUMISGF3A/M97935_MB_at	581.932	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	3492.454	P	7.01E-05
AFFX-HUMRGE/M10098_5_at	546.1645	P	6.02E-05
AFFX-HUMRGE/M10098_M_at	937.3926	P	5.17E-05
AFFX-HUMRGE/M10098_3_at	1374.937	P	0.000662269
AFFX-HUMGAPDH/M33197_5_at	15521.38	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	16592.92	P	5.17E-05
AFFX-HUMGAPDH/M33197_3_at	24935.6	P	4.43E-05
AFFX-HSAC07/X00351_5_at	12092.5	P	6.02E-05
AFFX-HSAC07/X00351_M_at	21774.04	P	4.43E-05
AFFX-HSAC07/X00351_3_at	45451.92	P	4.43E-05
AFFX-M27830_5_at	2308.668	P	4.43E-05
AFFX-M27830_M_at	7688.734	P	0.004017214
AFFX-M27830_3_at	32.59623	A	0.7371734
AFFX-hum_alu_at	95781.4	P	2.61E-13
1007_s_at	1362.119	P	0.001891623
1053_at	525.8452	P	0.002616955
117_at	241.4592	M	0.06041932
121_at	992.6574	P	0.005642788
1255_g_at	72.25912	A	0.2507237
1294_at	632.5419	P	0.005642788
1316_at	69.12501	A	0.1276453
1320_at	12.26694	A	0.9261699
1405_i_at	159.3402	P	0.001755182
1431_at	401.7454	P	0.00056169
1438_at	7.7531	A	0.7654434
1487_at	1298.647	P	0.01493657
1494_f_at	230.4253	A	0.1073009
1598_g_at	3795.434	P	0.000265621
160020_at	816.7334	P	0.04899465
1729_at	1092.588	P	0.001602293
