ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1112.319	P	0.003212301
AFFX-BioB-M_at	1148.884	P	0.000662269
AFFX-BioB-3_at	473.7063	A	0.1089786
AFFX-BioC-5_at	2557.932	P	0.000662269
AFFX-BioC-3_at	2179.166	P	4.43E-05
AFFX-BioDn-5_at	5613.867	P	4.43E-05
AFFX-BioDn-3_at	13258.97	P	6.02E-05
AFFX-CreX-5_at	18380.79	P	4.43E-05
AFFX-CreX-3_at	39457.13	P	4.43E-05
AFFX-DapX-5_at	5808.902	P	4.43E-05
AFFX-DapX-M_at	8909.169	P	0.000389797
AFFX-DapX-3_at	11163.96	P	7.01E-05
AFFX-LysX-5_at	993.3752	P	0.001101968
AFFX-LysX-M_at	1391.24	P	0.007620031
AFFX-LysX-3_at	1803.141	P	6.02E-05
AFFX-PheX-5_at	620.8377	P	0.001795911
AFFX-PheX-M_at	1633.885	P	0.000340305
AFFX-PheX-3_at	1873.689	P	0.000972149
AFFX-ThrX-5_at	1503.361	P	0.00618711
AFFX-ThrX-M_at	1488.258	P	5.17E-05
AFFX-ThrX-3_at	2902.448	P	0.000169227
AFFX-TrpnX-5_at	33.27101	A	0.9535185
AFFX-TrpnX-M_at	39.03966	A	0.9273001
AFFX-TrpnX-3_at	117.1253	A	0.5593536
AFFX-r2-Ec-bioB-5_at	1469.534	P	0.000244141
AFFX-r2-Ec-bioB-M_at	1571.698	P	0.0012207
AFFX-r2-Ec-bioB-3_at	1154.728	P	0.002685547
AFFX-r2-Ec-bioC-5_at	3403.803	P	0.000244141
AFFX-r2-Ec-bioC-3_at	4804.987	P	0.000244141
AFFX-r2-Ec-bioD-5_at	19119.36	P	0.000244141
AFFX-r2-Ec-bioD-3_at	22788.71	P	0.000244141
AFFX-r2-P1-cre-5_at	47491.03	P	0.000244141
AFFX-r2-P1-cre-3_at	62587.86	P	0.000244141
AFFX-r2-Bs-dap-5_at	6023.346	P	0.000244141
AFFX-r2-Bs-dap-M_at	9327.086	P	0.000244141
AFFX-r2-Bs-dap-3_at	11202.83	P	0.000244141
AFFX-r2-Bs-lys-5_at	1328.311	P	0.000732422
AFFX-r2-Bs-lys-M_at	1384.499	P	0.000244141
AFFX-r2-Bs-lys-3_at	815.3713	P	0.0012207
AFFX-r2-Bs-phe-5_at	837.8352	P	0.0012207
AFFX-r2-Bs-phe-M_at	1716.506	P	0.000244141
AFFX-r2-Bs-phe-3_at	2824.691	P	0.000732422
AFFX-r2-Bs-thr-3_s_at	4377.477	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	3817.734	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	2663.015	P	0.0012207
AFFX-HUMISGF3A/M97935_5_at	759.2313	P	0.005564507
AFFX-HUMISGF3A/M97935_MA_at	1860.29	P	0.001592572
AFFX-HUMISGF3A/M97935_MB_at	1248.088	P	5.17E-05
AFFX-HUMISGF3A/M97935_3_at	5325.242	P	9.45E-05
AFFX-HUMRGE/M10098_5_at	1206.019	P	0.02190186
AFFX-HUMRGE/M10098_M_at	544.6996	A	0.313723
AFFX-HUMRGE/M10098_3_at	1178.544	P	0.03367728
AFFX-HUMGAPDH/M33197_5_at	13089.9	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	14078	P	5.17E-05
AFFX-HUMGAPDH/M33197_3_at	20261.86	P	4.43E-05
AFFX-HSAC07/X00351_5_at	19935.46	P	5.17E-05
AFFX-HSAC07/X00351_M_at	25496.2	P	4.43E-05
AFFX-HSAC07/X00351_3_at	40195.09	P	4.43E-05
AFFX-M27830_5_at	1963.557	P	7.01E-05
AFFX-M27830_M_at	5238.735	P	0.006870645
AFFX-M27830_3_at	111.7861	A	0.8341386
AFFX-hum_alu_at	72770.41	P	2.61E-13
1007_s_at	443.9692	A	0.162935
1053_at	683.0836	P	0.03936541
117_at	493.6664	A	0.2507237
121_at	1562.967	P	0.02785966
1255_g_at	59.08361	A	0.7492763
1294_at	1377.732	A	0.2507237
1316_at	331.8277	P	0.01493657
1320_at	124.4853	A	0.5206196
1405_i_at	336.0639	A	0.09906146
1431_at	256.9642	A	0.1276453
1438_at	96.32072	A	0.7492763
1487_at	981.2537	A	0.0980541
1494_f_at	488.8966	A	0.2189833
1598_g_at	3865.401	P	0.000218889
160020_at	1845.126	A	0.08940502
1729_at	742.6827	A	0.162935
1773_at	260.7905	A	0.2345566
177_at	196.5961	A	0.3395579
179_at	1582.421	A	0.1171605
1861_at	505.9671	A	0.2847472
200000_s_at	4190.23	P	0.000244141
200001_at	4980.953	P	0.000732422
200002_at	23274.36	P	0.000244141
200003_s_at	34611.61	P	0.000244141
200004_at	16236.3	P	0.000244141
200005_at	3860.148	P	0.00195313
200006_at	15276.3	P	0.000732422
200007_at	9284.346	P	0.000244141
200008_s_at	4025.857	P	0.000732422
200009_at	7370.068	P	0.000244141
200010_at	25820.38	P	0.000244141
200011_s_at	2794.16	P	0.00292969
200012_x_at	31953.67	P	0.000244141
200013_at	18172.72	P	0.000244141
200014_s_at	4195.451	P	0.000244141
200015_s_at	8373.211	P	0.000732422
200016_x_at	23438.78	P	0.000244141
200017_at	45024.43	P	0.000732422
200018_at	45946.29	P	0.000244141
200019_s_at	24244.76	P	0.000244141
200020_at	2357.16	P	0.000244141
200021_at	15614.42	P	0.00805664
200022_at	18071.44	P	0.000244141
200023_s_at	11597.52	P	0.000244141
200024_at	25736.14	P	0.0012207
200025_s_at	30483.4	P	0.000244141
200026_at	13850.78	P	0.00585938
200027_at	7397.651	P	0.000244141
200028_s_at	6164.194	P	0.000732422
200029_at	29155.39	P	0.000244141
200030_s_at	9476.771	P	0.000244141
200031_s_at	68178.5	P	0.000244141
200032_s_at	53246.54	P	0.000732422
200033_at	23436.07	P	0.000244141
200034_s_at	29736.31	P	0.000244141
200035_at	2521.994	P	0.0302734
200036_s_at	19626.16	P	0.000244141
200037_s_at	3777.828	P	0.000244141
200038_s_at	32959.4	P	0.000244141
200039_s_at	9679.722	P	0.000244141
200040_at	1769.739	P	0.00292969
200041_s_at	8827.315	P	0.000244141
200042_at	1811.234	P	0.0185547
200043_at	4192.466	P	0.0012207
200044_at	5252.088	P	0.000244141
200045_at	2388.051	P	0.0012207
200046_at	9248.401	P	0.000244141
200047_s_at	3950.601	P	0.000244141
200048_s_at	22542.06	P	0.000244141
200049_at	967.5369	P	0.000732422
200050_at	2134.832	P	0.000732422
200051_at	1437.027	P	0.00195313
200052_s_at	4404.445	P	0.000732422
200053_at	3649.879	P	0.00585938
200054_at	1114.397	P	0.00415039
200055_at	7789.182	P	0.000244141
200056_s_at	801.8551	P	0.00585938
200057_s_at	9445.369	P	0.000244141
200058_s_at	4097.83	P	0.000244141
200059_s_at	11881.51	P	0.000244141
200060_s_at	2916.179	P	0.0107422
