ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1425.462	P	0.000753643
AFFX-BioB-M_at	2127.494	P	4.43E-05
AFFX-BioB-3_at	1131.932	P	6.02E-05
AFFX-BioC-5_at	3691.305	P	5.17E-05
AFFX-BioC-3_at	5248.081	P	4.43E-05
AFFX-BioDn-5_at	9953.568	P	9.45E-05
AFFX-BioDn-3_at	21122	P	7.01E-05
AFFX-CreX-5_at	62766.73	P	5.17E-05
AFFX-CreX-3_at	63263.68	P	4.43E-05
AFFX-DapX-5_at	1877.941	P	4.43E-05
AFFX-DapX-M_at	4317.291	P	0.000445901
AFFX-DapX-3_at	9083.799	P	5.17E-05
AFFX-LysX-5_at	246.9599	P	7.01E-05
AFFX-LysX-M_at	461.9294	P	0.000445901
AFFX-LysX-3_at	1325.988	P	6.02E-05
AFFX-PheX-5_at	398.3422	P	4.43E-05
AFFX-PheX-M_at	732.9172	P	0.000146581
AFFX-PheX-3_at	938.9503	P	4.43E-05
AFFX-ThrX-5_at	531.3126	P	9.45E-05
AFFX-ThrX-M_at	1034.115	P	4.43E-05
AFFX-ThrX-3_at	2229.672	P	4.43E-05
AFFX-TrpnX-5_at	8.01913	A	0.7492043
AFFX-TrpnX-M_at	41.06981	A	0.4113802
AFFX-TrpnX-3_at	74.49049	A	0.3006063
AFFX-r2-Ec-bioB-5_at	2550.055	P	0.000244141
AFFX-r2-Ec-bioB-M_at	1971.419	P	0.000244141
AFFX-r2-Ec-bioB-3_at	2063.26	P	0.000244141
AFFX-r2-Ec-bioC-5_at	5107.181	P	0.000244141
AFFX-r2-Ec-bioC-3_at	6105.664	P	0.000244141
AFFX-r2-Ec-bioD-5_at	20592.67	P	0.000244141
AFFX-r2-Ec-bioD-3_at	32018.93	P	0.000244141
AFFX-r2-P1-cre-5_at	66473.18	P	0.000244141
AFFX-r2-P1-cre-3_at	84158.02	P	0.000244141
AFFX-r2-Bs-dap-5_at	1695.631	P	0.000244141
AFFX-r2-Bs-dap-M_at	5466.695	P	0.000244141
AFFX-r2-Bs-dap-3_at	10813.79	P	0.000244141
AFFX-r2-Bs-lys-5_at	376.831	P	0.000244141
AFFX-r2-Bs-lys-M_at	478.0414	P	0.000732422
AFFX-r2-Bs-lys-3_at	877.0167	P	0.000732422
AFFX-r2-Bs-phe-5_at	457.4432	P	0.000244141
AFFX-r2-Bs-phe-M_at	789.5197	P	0.000732422
AFFX-r2-Bs-phe-3_at	1844.884	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	3485.649	P	0.000732422
AFFX-r2-Bs-thr-M_s_at	1710.415	P	0.000732422
AFFX-r2-Bs-thr-5_s_at	703.0315	P	0.000244141
AFFX-HUMISGF3A/M97935_5_at	717.1523	P	0.000296708
AFFX-HUMISGF3A/M97935_MA_at	1891.153	P	0.001247504
AFFX-HUMISGF3A/M97935_MB_at	1930.576	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	11144.56	P	5.17E-05
AFFX-HUMRGE/M10098_5_at	735.0226	P	4.43E-05
AFFX-HUMRGE/M10098_M_at	976.1061	P	0.000258358
AFFX-HUMRGE/M10098_3_at	1534.835	P	0.000258358
AFFX-HUMGAPDH/M33197_5_at	18977.67	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	23875.63	P	5.17E-05
AFFX-HUMGAPDH/M33197_3_at	32260.13	P	4.43E-05
AFFX-HSAC07/X00351_5_at	6777.662	P	8.14E-05
AFFX-HSAC07/X00351_M_at	16222.71	P	4.43E-05
AFFX-HSAC07/X00351_3_at	32289.08	P	4.43E-05
AFFX-M27830_5_at	2175.061	P	4.43E-05
AFFX-M27830_M_at	5745.266	P	0.002866996
AFFX-M27830_3_at	29.87636	A	0.6455473
AFFX-hum_alu_at	84871.59	P	2.61E-13
1007_s_at	2007.064	P	0.00056169
1053_at	525.3543	P	0.01144739
117_at	70.29368	A	0.3208301
121_at	753.4214	P	0.009985438
1255_g_at	10.75839	A	0.4588158
1294_at	1523.533	P	0.000321521
1316_at	160.3183	P	0.01144739
1320_at	8.266231	A	0.9455296
1405_i_at	323.653	P	0.000612512
1431_at	155.6287	P	0.000804598
1438_at	58.23967	A	0.4588158
1487_at	898.1112	P	0.007542912
1494_f_at	244.0851	P	0.03516287
1598_g_at	5888.566	P	0.000265621
160020_at	262.9231	A	0.162935
1729_at	2043.348	P	0.000321521
1773_at	211.6032	A	0.1896873
177_at	57.39005	A	0.08133665
179_at	695.0988	A	0.2847472
1861_at	657.27	P	0.03516287
200000_s_at	3889.49	P	0.000244141
200001_at	7058.078	P	0.000244141
200002_at	45428.75	P	0.000244141
200003_s_at	83215.91	P	0.000244141
200004_at	26856.15	P	0.000244141
200005_at	19326.11	P	0.000244141
200006_at	30151.55	P	0.000244141
200007_at	15664.11	P	0.000244141
200008_s_at	2320.996	P	0.000244141
200009_at	11014.08	P	0.000244141
200010_at	42348.2	P	0.000244141
200011_s_at	2322.417	P	0.000244141
200012_x_at	53241.23	P	0.000244141
200013_at	73065.32	P	0.000244141
200014_s_at	8367.729	P	0.000244141
200015_s_at	14128.83	P	0.0012207
200016_x_at	56818.15	P	0.000244141
200017_at	79252.45	P	0.000244141
200018_at	69651.49	P	0.000244141
200019_s_at	34280.43	P	0.000244141
200020_at	3984.732	P	0.000244141
200021_at	14638.75	P	0.00585938
200022_at	64589.47	P	0.000244141
200023_s_at	22408.69	P	0.000244141
200024_at	60465.96	P	0.000732422
200025_s_at	65484.85	P	0.000244141
200026_at	67978.93	P	0.000244141
200027_at	12643.61	P	0.000244141
200028_s_at	8374.38	P	0.000244141
200029_at	57454.6	P	0.000244141
200030_s_at	27342.08	P	0.000244141
200031_s_at	90673.43	P	0.000244141
200032_s_at	71671.18	P	0.000244141
200033_at	48432.57	P	0.000244141
200034_s_at	60551.64	P	0.000244141
200035_at	1443.795	P	0.0239258
200036_s_at	41642.38	P	0.000244141
200037_s_at	10525.13	P	0.000244141
200038_s_at	77437.44	P	0.000244141
200039_s_at	5860.416	P	0.000244141
200040_at	8287.781	P	0.000244141
200041_s_at	3029.823	P	0.000244141
200042_at	13265.43	P	0.000244141
200043_at	11982.2	P	0.000244141
200044_at	5156.338	P	0.000244141
200045_at	2430.248	P	0.000244141
200046_at	7950.768	P	0.000244141
200047_s_at	9093.73	P	0.000244141
200048_s_at	25972.25	P	0.000244141
200049_at	532.9049	P	0.000244141
200050_at	8841.765	P	0.000732422
200051_at	1139.028	P	0.000732422
200052_s_at	4842.111	P	0.000244141
200053_at	2131.552	P	0.00195313
200054_at	1505.725	P	0.000244141
200055_at	4352.718	P	0.000244141
200056_s_at	2208.362	P	0.000244141
200057_s_at	12184.6	P	0.000244141
200058_s_at	4913.856	P	0.000244141
200059_s_at	19122.27	P	0.000244141
200060_s_at	1727.938	P	0.00195313
200061_s_at	58916.33	P	0.000244141
200062_s_at	68201.28	P	0.000244141
200063_s_at	44994.06	P	0.000244141
200064_at	11539.8	P	0.000244141
200065_s_at	9756.122	P	0.000244141
200066_at	2613.406	P	0.000732422
