ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1466.7	P	0.000662269
AFFX-BioB-M_at	2380.617	P	4.43E-05
AFFX-BioB-3_at	1119.634	P	0.000296708
AFFX-BioC-5_at	1723.426	P	0.000126798
AFFX-BioC-3_at	2051.959	P	4.43E-05
AFFX-BioDn-5_at	11495.66	P	4.43E-05
AFFX-BioDn-3_at	25312.7	P	6.02E-05
AFFX-CreX-5_at	49951.71	P	5.17E-05
AFFX-CreX-3_at	74348.36	P	4.43E-05
AFFX-DapX-5_at	3484.667	P	4.43E-05
AFFX-DapX-M_at	6468.432	P	0.000662269
AFFX-DapX-3_at	7468.129	P	5.17E-05
AFFX-LysX-5_at	457.3168	P	0.000753643
AFFX-LysX-M_at	543.3167	P	0.006870645
AFFX-LysX-3_at	1328.169	P	9.45E-05
AFFX-PheX-5_at	366.0475	P	0.00010954
AFFX-PheX-M_at	760.7576	P	0.000146581
AFFX-PheX-3_at	648.9519	P	0.000296708
AFFX-ThrX-5_at	668.6315	P	0.000296708
AFFX-ThrX-M_at	1123.569	P	4.43E-05
AFFX-ThrX-3_at	1708.552	P	0.000146581
AFFX-TrpnX-5_at	111.5012	A	0.3544527
AFFX-TrpnX-M_at	22.79704	A	0.794288
AFFX-TrpnX-3_at	14.64103	A	0.7492043
AFFX-r2-Ec-bioB-5_at	1883.53	P	0.000244141
AFFX-r2-Ec-bioB-M_at	2190.595	P	0.000244141
AFFX-r2-Ec-bioB-3_at	1734.701	P	0.000244141
AFFX-r2-Ec-bioC-5_at	1824.975	P	0.000244141
AFFX-r2-Ec-bioC-3_at	1368.192	P	0.000244141
AFFX-r2-Ec-bioD-5_at	25485.73	P	0.000244141
AFFX-r2-Ec-bioD-3_at	30638.47	P	0.000244141
AFFX-r2-P1-cre-5_at	73166.58	P	0.000244141
AFFX-r2-P1-cre-3_at	98861.37	P	0.000244141
AFFX-r2-Bs-dap-5_at	4913.654	P	0.000244141
AFFX-r2-Bs-dap-M_at	7774.193	P	0.000244141
AFFX-r2-Bs-dap-3_at	8592.911	P	0.000244141
AFFX-r2-Bs-lys-5_at	631.0388	P	0.000244141
AFFX-r2-Bs-lys-M_at	636.5056	P	0.000244141
AFFX-r2-Bs-lys-3_at	761.6851	P	0.000244141
AFFX-r2-Bs-phe-5_at	582.2147	P	0.000732422
AFFX-r2-Bs-phe-M_at	924.9571	P	0.000244141
AFFX-r2-Bs-phe-3_at	1758.021	P	0.000244141
AFFX-r2-Bs-thr-3_s_at	2115.839	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	1546.722	P	0.000244141
AFFX-r2-Bs-thr-5_s_at	1277.117	P	0.000732422
AFFX-HUMISGF3A/M97935_5_at	547.9408	P	0.00141043
AFFX-HUMISGF3A/M97935_MA_at	975.0485	P	0.000753643
AFFX-HUMISGF3A/M97935_MB_at	1322.352	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	5351.613	P	5.17E-05
AFFX-HUMRGE/M10098_5_at	95856.11	P	4.43E-05
AFFX-HUMRGE/M10098_M_at	26844.98	P	4.43E-05
AFFX-HUMRGE/M10098_3_at	32137.93	P	4.43E-05
AFFX-HUMGAPDH/M33197_5_at	37097.32	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	31033.54	P	4.43E-05
AFFX-HUMGAPDH/M33197_3_at	40842.19	P	4.43E-05
AFFX-HSAC07/X00351_5_at	15051.59	P	6.02E-05
AFFX-HSAC07/X00351_M_at	17869.38	P	4.43E-05
AFFX-HSAC07/X00351_3_at	29321.99	P	4.43E-05
AFFX-M27830_5_at	16558.38	P	4.43E-05
AFFX-M27830_M_at	12351.2	P	0.002022599
AFFX-M27830_3_at	52.50652	A	0.6030805
AFFX-hum_alu_at	105258.3	P	2.61E-13
1007_s_at	149.0008	A	0.4383609
1053_at	328.5434	P	0.009985438
117_at	219.0799	A	0.2345566
121_at	1269.117	P	0.002616955
1255_g_at	17.46347	A	0.7654434
1294_at	774.8897	A	0.08940502
1316_at	18.96491	A	0.6604422
1320_at	85.58495	A	0.6218156
1405_i_at	22.70133	A	0.5125231
1431_at	218.7704	P	0.004862762
1438_at	125.4594	A	0.3781844
1487_at	1206.953	P	0.02186644
1494_f_at	179.2522	A	0.1171605
1598_g_at	2569.916	P	0.000321521
160020_at	201.5534	A	0.2345566
1729_at	1011.821	P	0.01309182
1773_at	51.66763	A	0.4180693
177_at	95.85937	A	0.162935
179_at	678.23	A	0.1276453
1861_at	450.5396	M	0.05447043
200000_s_at	2279.913	P	0.000244141
200001_at	3506.777	P	0.000732422
200002_at	61628.66	P	0.000244141
200003_s_at	87333.94	P	0.000244141
200004_at	27114.53	P	0.000244141
200005_at	14782.59	P	0.000244141
200006_at	24888.18	P	0.000244141
200007_at	15943	P	0.000244141
200008_s_at	4604.874	P	0.000244141
200009_at	10451.13	P	0.000244141
200010_at	62717.66	P	0.000244141
200011_s_at	1478.018	P	0.000732422
200012_x_at	68680.88	P	0.000244141
200013_at	95544.04	P	0.000244141
200014_s_at	7264.988	P	0.000244141
200015_s_at	12071.27	P	0.00195313
200016_x_at	72166.3	P	0.000244141
200017_at	88388.59	P	0.000244141
200018_at	90521.06	P	0.000244141
200019_s_at	76241.76	P	0.000244141
200020_at	4053.862	P	0.000244141
200021_at	26051.82	P	0.00195313
200022_at	79900.61	P	0.000244141
200023_s_at	27052.43	P	0.000244141
200024_at	71499.02	P	0.000732422
200025_s_at	74347.96	P	0.000244141
200026_at	74945.91	P	0.000244141
200027_at	12441.36	P	0.000244141
200028_s_at	6458.626	P	0.000244141
200029_at	61297.12	P	0.000244141
200030_s_at	14454.07	P	0.000244141
200031_s_at	116312.8	P	0.000244141
200032_s_at	89653.12	P	0.000244141
200033_at	36635.22	P	0.000244141
200034_s_at	59436.52	P	0.000244141
200035_at	1647.763	P	0.0185547
200036_s_at	59687.24	P	0.000244141
200037_s_at	9591.804	P	0.000244141
200038_s_at	79538.79	P	0.000244141
200039_s_at	7684.388	P	0.000244141
200040_at	4097.703	P	0.000732422
200041_s_at	6889.469	P	0.000244141
200042_at	1799.387	P	0.000732422
200043_at	9673.831	P	0.000244141
200044_at	3781.956	P	0.000244141
200045_at	2583.886	P	0.000244141
200046_at	14512.14	P	0.000244141
200047_s_at	7068.798	P	0.000244141
200048_s_at	32410.99	P	0.000244141
200049_at	552.8198	P	0.000244141
200050_at	5406.664	P	0.000732422
200051_at	1675.06	P	0.000244141
200052_s_at	6939.716	P	0.000244141
200053_at	1997.746	P	0.000732422
200054_at	1415.93	P	0.000244141
200055_at	7255.893	P	0.000244141
