ID_REF	VALUE	ABS_CALL	DETECTION P-VALUE
AFFX-BioB-5_at	1699.825	P	0.000753643
AFFX-BioB-M_at	3260.76	P	4.43E-05
AFFX-BioB-3_at	1232.129	P	4.43E-05
AFFX-BioC-5_at	3793.102	P	7.01E-05
AFFX-BioC-3_at	5243.728	P	4.43E-05
AFFX-BioDn-5_at	14192.76	P	5.17E-05
AFFX-BioDn-3_at	19587.05	P	7.01E-05
AFFX-CreX-5_at	59336.41	P	5.17E-05
AFFX-CreX-3_at	77192.76	P	4.43E-05
AFFX-DapX-5_at	1992.234	P	5.17E-05
AFFX-DapX-M_at	4478.012	P	0.000296708
AFFX-DapX-3_at	5367.474	P	6.01E-05
AFFX-LysX-5_at	273.9153	P	0.000509415
AFFX-LysX-M_at	420.1031	P	0.001795911
AFFX-LysX-3_at	1010.197	P	6.02E-05
AFFX-PheX-5_at	653.304	P	0.000389384
AFFX-PheX-M_at	727.7889	P	8.14E-05
AFFX-PheX-3_at	648.4829	P	5.17E-05
AFFX-ThrX-5_at	434.1658	P	0.000662269
AFFX-ThrX-M_at	831.5779	P	0.000340305
AFFX-ThrX-3_at	1306.168	P	9.45E-05
AFFX-TrpnX-5_at	67.37477	A	0.6455473
AFFX-TrpnX-M_at	8.427014	A	0.8341386
AFFX-TrpnX-3_at	8.789268	A	0.6315734
AFFX-r2-Ec-bioB-5_at	1865.457	P	0.000732422
AFFX-r2-Ec-bioB-M_at	2518.605	P	0.000244141
AFFX-r2-Ec-bioB-3_at	1954.242	P	0.000244141
AFFX-r2-Ec-bioC-5_at	6039.553	P	0.000244141
AFFX-r2-Ec-bioC-3_at	7474.781	P	0.000244141
AFFX-r2-Ec-bioD-5_at	26171.37	P	0.000244141
AFFX-r2-Ec-bioD-3_at	40490.23	P	0.000244141
AFFX-r2-P1-cre-5_at	79635.63	P	0.000244141
AFFX-r2-P1-cre-3_at	103559.3	P	0.000244141
AFFX-r2-Bs-dap-5_at	2627.361	P	0.000244141
AFFX-r2-Bs-dap-M_at	6027.329	P	0.000244141
AFFX-r2-Bs-dap-3_at	6336.06	P	0.000244141
AFFX-r2-Bs-lys-5_at	568.6655	P	0.000732422
AFFX-r2-Bs-lys-M_at	506.0995	P	0.000244141
AFFX-r2-Bs-lys-3_at	427.7166	P	0.000244141
AFFX-r2-Bs-phe-5_at	654.39	P	0.000732422
AFFX-r2-Bs-phe-M_at	915.7289	P	0.000244141
AFFX-r2-Bs-phe-3_at	1257.499	P	0.00292969
AFFX-r2-Bs-thr-3_s_at	1398.752	P	0.000244141
AFFX-r2-Bs-thr-M_s_at	1295.612	P	0.0012207
AFFX-r2-Bs-thr-5_s_at	714.9051	P	0.000732422
AFFX-HUMISGF3A/M97935_5_at	271.5607	P	0.01518256
AFFX-HUMISGF3A/M97935_MA_at	407.2112	P	0.02611102
AFFX-HUMISGF3A/M97935_MB_at	448.3133	P	4.43E-05
AFFX-HUMISGF3A/M97935_3_at	2580.385	P	0.000224668
AFFX-HUMRGE/M10098_5_at	79764.08	P	4.43E-05
AFFX-HUMRGE/M10098_M_at	61217.26	P	4.43E-05
AFFX-HUMRGE/M10098_3_at	67686.96	P	4.43E-05
AFFX-HUMGAPDH/M33197_5_at	37517.89	P	4.43E-05
AFFX-HUMGAPDH/M33197_M_at	33414.69	P	5.17E-05
AFFX-HUMGAPDH/M33197_3_at	39688.4	P	4.43E-05
AFFX-HSAC07/X00351_5_at	3820.292	P	0.000195116
AFFX-HSAC07/X00351_M_at	8243.598	P	4.43E-05
AFFX-HSAC07/X00351_3_at	25181.27	P	4.43E-05
AFFX-M27830_5_at	62482.24	P	4.43E-05
AFFX-M27830_M_at	14973.43	P	0.002555524
AFFX-M27830_3_at	137.8275	A	0.5740377
AFFX-hum_alu_at	98055.1	P	2.61E-13
1007_s_at	621.5656	P	0.02186644
1053_at	381.5599	P	0.00653198
117_at	799.0767	P	0.000673102
121_at	764.1371	P	0.03133569
1255_g_at	67.98992	A	0.3586904
1294_at	268.1754	A	0.2847472
1316_at	293.6646	P	0.002616955
1320_at	9.725232	A	0.8612349
1405_i_at	77.89983	A	0.1501449
1431_at	97.49509	P	0.001891623
1438_at	88.91741	A	0.3979936
1487_at	942.7869	P	0.03516287
1494_f_at	31.69598	A	0.4588158
1598_g_at	3709.381	P	0.000218889
160020_at	270.4253	A	0.08133665
1729_at	2238.146	P	0.00056169
1773_at	382.4616	P	0.01700051
177_at	79.06274	A	0.1505271
179_at	537.1004	P	0.04899465
1861_at	378.071	A	0.162935
200000_s_at	1548.58	P	0.000244141
200001_at	2704.281	P	0.000244141
200002_at	52994.09	P	0.000244141
200003_s_at	69385.59	P	0.000244141
200004_at	26545.4	P	0.000244141
200005_at	9734.99	P	0.000244141
200006_at	22708.29	P	0.000244141
200007_at	25612.23	P	0.000244141
200008_s_at	2280.137	P	0.000244141
200009_at	6998.919	P	0.000244141
200010_at	35934.24	P	0.000244141
200011_s_at	1711.819	P	0.000244141
200012_x_at	45658.3	P	0.000244141
200013_at	51269.21	P	0.000244141
200014_s_at	12862.12	P	0.000244141
200015_s_at	8804.983	P	0.0012207
200016_x_at	47027.81	P	0.000244141
200017_at	73932.45	P	0.000244141
200018_at	63923.27	P	0.000244141
200019_s_at	27141.75	P	0.000244141
200020_at	3801.062	P	0.000244141
200021_at	3943.134	P	0.00585938
200022_at	56339.01	P	0.000244141
200023_s_at	14499.82	P	0.000244141
200024_at	42138.54	P	0.000244141
200025_s_at	57632.27	P	0.000244141
200026_at	19286.55	P	0.000244141
200027_at	10933.92	P	0.000244141
200028_s_at	7352.054	P	0.000732422
200029_at	41945.03	P	0.000244141
200030_s_at	12811.3	P	0.000244141
200031_s_at	98320.56	P	0.000244141
200032_s_at	77603.39	P	0.000244141
200033_at	55381.48	P	0.000244141
200034_s_at	57975.43	P	0.000244141
200035_at	2110.473	P	0.0239258
200036_s_at	33345.74	P	0.000244141
200037_s_at	8240.836	P	0.000244141
200038_s_at	59490.05	P	0.000244141
200039_s_at	8226.983	P	0.000732422
200040_at	4611.706	P	0.000244141
200041_s_at	1175.94	P	0.000244141
200042_at	2065.294	P	0.000732422
200043_at	9688.075	P	0.000244141
200044_at	11379.78	P	0.000244141
200045_at	1613.069	P	0.00195313
200046_at	27057.47	P	0.000244141
200047_s_at	8975.023	P	0.000244141
200048_s_at	31999.39	P	0.000244141
200049_at	798.9297	P	0.000244141
200050_at	3861.772	P	0.000244141
200051_at	1007.98	P	0.00292969
200052_s_at	6824.75	P	0.000244141
200053_at	2029.02	P	0.000732422
200054_at	1116.343	P	0.00292969
